arch, instr, time(ms)
arm64, BPF_JMP BPF_JSLE BPF_K, 13617
arm64, BPF_JMP BPF_JSET BPF_K, 14122
x86_32, BPF_JMP BPF_CALL, 11505
x86_32, BPF_ALU BPF_END BPF_FROM_BE, 44828
x86_32, BPF_ALU BPF_END BPF_FROM_LE, 31928
x86_32, BPF_JMP32 BPF_JEQ BPF_K, 14812
x86_32, BPF_JMP32 BPF_JGT BPF_K, 17300
x86_32, BPF_JMP32 BPF_JLT BPF_K, 15785
x86_32, BPF_JMP32 BPF_JGE BPF_K, 13982
x86_32, BPF_JMP32 BPF_JLE BPF_K, 16884
x86_32, BPF_JMP32 BPF_JNE BPF_K, 16831
x86_32, BPF_JMP32 BPF_JSGT BPF_K, 15082
x86_32, BPF_JMP32 BPF_JSLT BPF_K, 12062
x86_32, BPF_JMP32 BPF_JSGE BPF_K, 19005
x86_32, BPF_JMP32 BPF_JSLE BPF_K, 15784
x86_32, BPF_JMP32 BPF_JSET BPF_K, 12784
x86_32, BPF_LD BPF_IMM BPF_DW, 13559
x86_32, BPF_JMP BPF_JA, 4811
x86_32, BPF_JMP BPF_JEQ BPF_K, 20291
x86_32, BPF_JMP BPF_JGT BPF_K, 20523
x86_32, BPF_JMP BPF_JLT BPF_K, 25572
x86_32, BPF_JMP BPF_JGE BPF_K, 22315
x86_32, BPF_JMP BPF_JLE BPF_K, 24290
x86_32, BPF_JMP BPF_JNE BPF_K, 18206
x86_32, BPF_JMP BPF_JSGT BPF_K, 22105
x86_32, BPF_JMP BPF_JSLT BPF_K, 22293
x86_32, BPF_JMP BPF_JSGE BPF_K, 23486
x86_32, BPF_JMP BPF_JSLE BPF_K, 21309
x86_32, BPF_JMP BPF_JSET BPF_K, 23970
x86_32, BPF_ALU BPF_MOV BPF_K, 11074
x86_32, BPF_ALU BPF_ADD BPF_K, 40663
x86_32, BPF_ALU BPF_SUB BPF_K, 49557
x86_32, BPF_ALU BPF_AND BPF_K, 24798
x86_32, BPF_ALU BPF_OR BPF_K, 28733
x86_32, BPF_ALU BPF_XOR BPF_K, 38260
x86_32, BPF_ALU BPF_MUL BPF_K, 7417
x86_32, BPF_ALU BPF_DIV BPF_K, 6854
x86_32, BPF_ALU BPF_MOD BPF_K, 10379
x86_32, BPF_ALU BPF_LSH BPF_K, 32077
x86_32, BPF_ALU BPF_RSH BPF_K, 28994
x86_32, BPF_ALU BPF_ARSH BPF_K, 38575
x86_32, BPF_LDX BPF_MEM BPF_B, 20183
x86_32, BPF_LDX BPF_MEM BPF_H, 33574
x86_32, BPF_LDX BPF_MEM BPF_W, 35431
x86_32, BPF_LDX BPF_MEM BPF_DW, 35359
x86_32, BPF_ST BPF_MEM BPF_B, 12322
x86_32, BPF_ST BPF_MEM BPF_H, 13006
x86_32, BPF_ST BPF_MEM BPF_W, 14353
x86_32, BPF_ST BPF_MEM BPF_DW, 29416
x86_32, BPF_ALU64 BPF_MOV BPF_K, 9912
x86_32, BPF_ALU64 BPF_ADD BPF_K, 58553
x86_32, BPF_ALU64 BPF_SUB BPF_K, 64407
x86_32, BPF_ALU64 BPF_AND BPF_K, 36501
x86_32, BPF_ALU64 BPF_OR BPF_K, 34906
x86_32, BPF_ALU64 BPF_XOR BPF_K, 37050
x86_32, BPF_ALU64 BPF_MUL BPF_K, 15628
x86_32, BPF_ALU64 BPF_LSH BPF_K, 61225
x86_32, BPF_ALU64 BPF_RSH BPF_K, 33588
x86_32, BPF_ALU64 BPF_ARSH BPF_K, 40730
x86_32, BPF_JMP32 BPF_JEQ BPF_X, 30509
x86_32, BPF_JMP32 BPF_JGT BPF_X, 35641
x86_32, BPF_JMP32 BPF_JLT BPF_X, 36096
x86_32, BPF_JMP32 BPF_JGE BPF_X, 38968
x86_32, BPF_JMP32 BPF_JLE BPF_X, 35020
x86_32, BPF_JMP32 BPF_JNE BPF_X, 36369
x86_32, BPF_JMP32 BPF_JSGT BPF_X, 27885
x86_32, BPF_JMP32 BPF_JSLT BPF_X, 40015
x86_32, BPF_JMP32 BPF_JSGE BPF_X, 42145
x86_32, BPF_JMP32 BPF_JSLE BPF_X, 29985
x86_32, BPF_JMP32 BPF_JSET BPF_X, 32832
x86_32, BPF_STX BPF_MEM BPF_B, 19485
x86_32, BPF_STX BPF_MEM BPF_H, 16812
x86_32, BPF_STX BPF_MEM BPF_W, 13715
x86_32, BPF_STX BPF_MEM BPF_DW, 34708
x86_32, BPF_ALU BPF_MOV BPF_X, 14774
x86_32, BPF_ALU BPF_ADD BPF_X, 85600
x86_32, BPF_ALU BPF_SUB BPF_X, 103866
x86_32, BPF_ALU BPF_AND BPF_X, 51095
x86_32, BPF_ALU BPF_OR BPF_X, 53437
x86_32, BPF_ALU BPF_XOR BPF_X, 65489
x86_32, BPF_ALU BPF_MUL BPF_X, 7770
x86_32, BPF_ALU BPF_DIV BPF_X, 12507
x86_32, BPF_ALU BPF_MOD BPF_X, 14984
x86_32, BPF_ALU BPF_LSH BPF_X, 43433
x86_32, BPF_ALU BPF_RSH BPF_X, 37337
x86_32, BPF_ALU BPF_ARSH BPF_X, 43198
x86_32, BPF_ALU BPF_NEG, 12818
x86_32, BPF_JMP BPF_JEQ BPF_X, 59804
x86_32, BPF_JMP BPF_JGT BPF_X, 62201
x86_32, BPF_JMP BPF_JLT BPF_X, 64671
x86_32, BPF_JMP BPF_JGE BPF_X, 63902
x86_32, BPF_JMP BPF_JLE BPF_X, 65603
x86_32, BPF_JMP BPF_JNE BPF_X, 33971
x86_32, BPF_JMP BPF_JSGT BPF_X, 49016
x86_32, BPF_JMP BPF_JSLT BPF_X, 33309
x86_32, BPF_JMP BPF_JSGE BPF_X, 35252
x86_32, BPF_JMP BPF_JSLE BPF_X, 43084
x86_32, BPF_JMP BPF_JSET BPF_X, 28963
x86_32, BPF_ALU64 BPF_MOV BPF_X, 28135
x86_32, BPF_ALU64 BPF_ADD BPF_X, 189937
x86_32, BPF_ALU64 BPF_SUB BPF_X, 166331
x86_32, BPF_ALU64 BPF_AND BPF_X, 49831
x86_32, BPF_ALU64 BPF_OR BPF_X, 44478
x86_32, BPF_ALU64 BPF_XOR BPF_X, 50251
x86_32, BPF_ALU64 BPF_MUL BPF_X, 29855
x86_32, BPF_ALU64 BPF_LSH BPF_X, 42700
x86_32, BPF_ALU64 BPF_RSH BPF_X, 39571
x86_32, BPF_ALU64 BPF_ARSH BPF_X, 44772
x86_32, BPF_ALU64 BPF_NEG, 9969
x86_64, BPF_JMP BPF_CALL, 1082
x86_64, BPF_ALU BPF_END BPF_FROM_BE, 4680
x86_64, BPF_ALU BPF_END BPF_FROM_LE, 4510
x86_64, BPF_ALU64 BPF_MOV BPF_K, 2103
x86_64, BPF_ALU64 BPF_ADD BPF_K, 5108
x86_64, BPF_ALU64 BPF_SUB BPF_K, 5101
x86_64, BPF_ALU64 BPF_AND BPF_K, 2692
x86_64, BPF_ALU64 BPF_OR BPF_K, 2817
x86_64, BPF_ALU64 BPF_XOR BPF_K, 3251
x86_64, BPF_ALU64 BPF_MUL BPF_K, 10678
x86_64, BPF_ALU64 BPF_DIV BPF_K, 2415
x86_64, BPF_ALU64 BPF_MOD BPF_K, 3952
x86_64, BPF_ALU64 BPF_LSH BPF_K, 4917
x86_64, BPF_ALU64 BPF_RSH BPF_K, 4726
x86_64, BPF_ALU64 BPF_ARSH BPF_K, 7251
x86_64, BPF_LD BPF_IMM BPF_DW, 2342
x86_64, BPF_LDX BPF_MEM BPF_B, 6298
x86_64, BPF_LDX BPF_MEM BPF_H, 5786
x86_64, BPF_LDX BPF_MEM BPF_W, 25961
x86_64, BPF_LDX BPF_MEM BPF_DW, 6238
x86_64, BPF_ALU BPF_MOV BPF_X, 4359
x86_64, BPF_ALU BPF_ADD BPF_X, 11963
x86_64, BPF_ALU BPF_SUB BPF_X, 18222
x86_64, BPF_ALU BPF_AND BPF_X, 4109
x86_64, BPF_ALU BPF_OR BPF_X, 4498
x86_64, BPF_ALU BPF_XOR BPF_X, 4801
x86_64, BPF_ALU BPF_MUL BPF_X, 11111
x86_64, BPF_ALU BPF_DIV BPF_X, 3147
x86_64, BPF_ALU BPF_MOD BPF_X, 4661
x86_64, BPF_ALU BPF_LSH BPF_X, 13309
x86_64, BPF_ALU BPF_RSH BPF_X, 10659
x86_64, BPF_ALU BPF_ARSH BPF_X, 23756
x86_64, BPF_ALU BPF_NEG, 2687
x86_64, BPF_ALU64 BPF_MOV BPF_X, 7873
x86_64, BPF_ALU64 BPF_ADD BPF_X, 10805
x86_64, BPF_ALU64 BPF_SUB BPF_X, 15428
x86_64, BPF_ALU64 BPF_AND BPF_X, 3088
x86_64, BPF_ALU64 BPF_OR BPF_X, 2913
x86_64, BPF_ALU64 BPF_XOR BPF_X, 3641
x86_64, BPF_ALU64 BPF_MUL BPF_X, 8114
x86_64, BPF_ALU64 BPF_DIV BPF_X, 2783
x86_64, BPF_ALU64 BPF_MOD BPF_X, 4822
x86_64, BPF_ALU64 BPF_LSH BPF_X, 18607
x86_64, BPF_ALU64 BPF_RSH BPF_X, 14682
x86_64, BPF_ALU64 BPF_ARSH BPF_X, 33365
x86_64, BPF_ALU64 BPF_NEG, 1406
x86_64, BPF_ALU BPF_MOV BPF_K, 3092
x86_64, BPF_ALU BPF_ADD BPF_K, 13619
x86_64, BPF_ALU BPF_SUB BPF_K, 6388
x86_64, BPF_ALU BPF_AND BPF_K, 21212
x86_64, BPF_ALU BPF_OR BPF_K, 7022
x86_64, BPF_ALU BPF_XOR BPF_K, 16857
x86_64, BPF_ALU BPF_MUL BPF_K, 13426
x86_64, BPF_ALU BPF_DIV BPF_K, 3014
x86_64, BPF_ALU BPF_MOD BPF_K, 4106
x86_64, BPF_ALU BPF_LSH BPF_K, 18590
x86_64, BPF_ALU BPF_RSH BPF_K, 5494
x86_64, BPF_ALU BPF_ARSH BPF_K, 18202
x86_64, BPF_ST BPF_MEM BPF_B, 7427
x86_64, BPF_ST BPF_MEM BPF_H, 9816
x86_64, BPF_ST BPF_MEM BPF_W, 5658
x86_64, BPF_ST BPF_MEM BPF_DW, 4422
x86_64, BPF_STX BPF_XADD BPF_W, 15520
x86_64, BPF_STX BPF_XADD BPF_DW, 6368
x86_64, BPF_STX BPF_MEM BPF_B, 9428
x86_64, BPF_STX BPF_MEM BPF_H, 14760
x86_64, BPF_STX BPF_MEM BPF_W, 11994
x86_64, BPF_STX BPF_MEM BPF_DW, 4907
x86_64, BPF_JMP BPF_JEQ BPF_X, 12441
x86_64, BPF_JMP BPF_JGT BPF_X, 19049
x86_64, BPF_JMP BPF_JLT BPF_X, 14044
x86_64, BPF_JMP BPF_JGE BPF_X, 16678
x86_64, BPF_JMP BPF_JLE BPF_X, 13960
x86_64, BPF_JMP BPF_JNE BPF_X, 13590
x86_64, BPF_JMP BPF_JSGT BPF_X, 21765
x86_64, BPF_JMP BPF_JSLT BPF_X, 20437
x86_64, BPF_JMP BPF_JSGE BPF_X, 13854
x86_64, BPF_JMP BPF_JSLE BPF_X, 11618
x86_64, BPF_JMP BPF_JSET BPF_X, 4577
x86_64, BPF_JMP32 BPF_JEQ BPF_X, 15542
x86_64, BPF_JMP32 BPF_JGT BPF_X, 20753
x86_64, BPF_JMP32 BPF_JLT BPF_X, 17065
x86_64, BPF_JMP32 BPF_JGE BPF_X, 16380
x86_64, BPF_JMP32 BPF_JLE BPF_X, 20602
x86_64, BPF_JMP32 BPF_JNE BPF_X, 18301
x86_64, BPF_JMP32 BPF_JSGT BPF_X, 23534
x86_64, BPF_JMP32 BPF_JSLT BPF_X, 19607
x86_64, BPF_JMP32 BPF_JSGE BPF_X, 15901
x86_64, BPF_JMP32 BPF_JSLE BPF_X, 16668
x86_64, BPF_JMP32 BPF_JSET BPF_X, 11394
x86_64, BPF_JMP BPF_JA, 5034
x86_64, BPF_JMP BPF_JEQ BPF_K, 21678
x86_64, BPF_JMP BPF_JGT BPF_K, 23568
x86_64, BPF_JMP BPF_JLT BPF_K, 12594
x86_64, BPF_JMP BPF_JGE BPF_K, 23224
x86_64, BPF_JMP BPF_JLE BPF_K, 24521
x86_64, BPF_JMP BPF_JNE BPF_K, 24119
x86_64, BPF_JMP BPF_JSGT BPF_K, 22643
x86_64, BPF_JMP BPF_JSLT BPF_K, 12099
x86_64, BPF_JMP BPF_JSGE BPF_K, 14931
x86_64, BPF_JMP BPF_JSLE BPF_K, 14528
x86_64, BPF_JMP BPF_JSET BPF_K, 4352
x86_64, BPF_JMP32 BPF_JEQ BPF_K, 35028
x86_64, BPF_JMP32 BPF_JGT BPF_K, 42091
x86_64, BPF_JMP32 BPF_JLT BPF_K, 27649
x86_64, BPF_JMP32 BPF_JGE BPF_K, 35674
x86_64, BPF_JMP32 BPF_JLE BPF_K, 38811
x86_64, BPF_JMP32 BPF_JNE BPF_K, 20048
x86_64, BPF_JMP32 BPF_JSGT BPF_K, 17444
x86_64, BPF_JMP32 BPF_JSLT BPF_K, 15990
x86_64, BPF_JMP32 BPF_JSGE BPF_K, 17063
x86_64, BPF_JMP32 BPF_JSLE BPF_K, 26433
x86_64, BPF_JMP32 BPF_JSET BPF_K, 7504
rv32, BPF_ALU BPF_END BPF_FROM_BE, 32090
rv32, BPF_ALU BPF_END BPF_FROM_LE, 17017
rv32, BPF_ALU BPF_MOV BPF_X, 18955
rv32, BPF_ALU BPF_ADD BPF_X, 22167
rv32, BPF_ALU BPF_SUB BPF_X, 22338
rv32, BPF_ALU BPF_AND BPF_X, 10767
rv32, BPF_ALU BPF_OR BPF_X, 11998
rv32, BPF_ALU BPF_XOR BPF_X, 13304
rv32, BPF_ALU BPF_MUL BPF_X, 9104
rv32, BPF_ALU BPF_DIV BPF_X, 8964
rv32, BPF_ALU BPF_MOD BPF_X, 17452
